kwd,num_twt,num_sample,num_related,score
accident,5867,20,20,100.0
close,2199,20,9,45.0
block,3083,20,17,85.0
street,1292,20,1,5.0
road,1048,20,7,35.0
lane,3540,20,19,95.0
highway,145,20,5,25.0
rd,3975,20,14,70.0
ln,1737,20,10,50.0
hwy,1795,20,17,85.0
freeway,109,20,2,10.0
fwy,2035,20,20,100.0
tollway,836,20,20,100.0
twy,0,0,0,
parkway,78,20,1,5.0
pwy,0,0,0,
loop,115,20,3,15.0
lp,1427,20,20,100.0
45,1469,20,6,30.0
i45,9,9,1,11.111111111111109
10,3393,20,8,40.0
i10,17,17,5,29.411764705882355
i69,0,0,0,
69,1240,20,6,30.0
i610,0,0,0,
610,527,20,20,100.0
beltway8,7,7,2,28.57142857142857
belt8,1,1,0,0.0
airport,1629,20,2,10.0
